day_number,date,time,place_name,category,sub_category,description,cost_amount,cost_currency,rating,notes,highlight
1,2026-03-28,12:00,Ngurah Rai International Airport,transport,taxi,Touched down in Bali and hopped on a Grab taxi for the scenic 1.5-hour drive through lush rice fields and jungle roads to our villa in Ubud.,270000,IDR,0,,false
1,2026-03-28,14:00,Private Pool Villa Ubud,accommodation,villa,Checked into a gorgeous private pool villa in the heart of Ubud — surrounded by tropical gardens with the sound of frogs and distant temple bells.,0,IDR,5,Accommodation in fixed costs,false
1,2026-03-28,17:00,Ubud Streets & Scooter Rental,transport,scooter,Rented scooters and rode through Ubud's winding lanes — the best way to navigate the town and discover hidden temples around every corner.,315000,IDR,4,,false
1,2026-03-28,18:00,Ubud Art Market,shopping,souvenirs,Wandered through the famous Pasar Seni market as dusk settled — rows of batik sarongs, handcrafted jewellery, wooden masks, and painted parasols.,100000,IDR,4,,true
1,2026-03-28,19:00,Ubud Royal Palace,sightseeing,temple,Strolled around the ornate Puri Saren Agung Palace — the spiritual and cultural heart of Ubud, beautifully lit by evening lanterns.,0,IDR,4,,false
1,2026-03-28,20:30,This Is Bali Restaurant,food,meals,First dinner in Bali at This Is Bali — authentic Balinese cuisine in a lush garden courtyard. The perfect welcome to the island.,336000,IDR,4,,true
2,2026-03-29,08:00,Bali ATV Adventure,activities,atv,Thrilling ATV ride through jungle trails, rice terraces, and river valleys — an adrenaline-packed morning exploring terrain that scooters can't reach.,500000,IDR,5,,true
2,2026-03-29,10:00,Ayung River Rafting,activities,rafting,White-water rafting through the Ayung River gorge — 2.5km of rapids past ancient stone carvings and lush canyon walls. Lunch included at the end.,700000,IDR,5,Lunch included,true
2,2026-03-29,13:00,Private Pool Villa Ubud,accommodation,villa,Afternoon recovery in the villa — a long swim in the private pool and a proper rest before the evening plans.,0,IDR,5,,false
2,2026-03-29,19:00,Taman Dedari,food,meals,Spectacular fine dining at Taman Dedari — a theatrical dinner among lily ponds and Balinese sculptures with traditional dance performances in the background.,400000,IDR,5,,true
3,2026-03-30,10:00,Pura Ulun Danu Beratan Temple,activities,temple,A serene lake temple floating on morning mist over Lake Beratan — one of Bali's most photogenic and spiritually significant temples.,150000,IDR,5,,true
3,2026-03-30,11:30,Sekumpul Waterfall,activities,sightseeing,The most beautiful waterfall in Bali — a 45-minute jungle trek leads to a stunning curtain of water plunging 80m into a moss-covered gorge.,300000,IDR,5,Covers multiple waterfalls,true
